"","living.branches","dead.branches","stem.wood","stump","bark","usoil","rot1","rot2","foliage","biomass.aboveground.kg","biomass.belowground.kg","total.biomass.kg"
"1",27.3763428680136,1.41047260845178,25.2307538852936,5.59970385220133,3.42285932811744,21.5325047280575,5.03426217047651,8.57686566222474,8.36037072152051,63.0401325420777,15.9328008758562,78.9729334179338
"2",259.602695648721,12.5983906162424,501.171811264789,126.532170856875,39.7112295089541,358.714146701563,42.6753798924973,179.079724581188,38.0800844887758,939.616297895582,232.181975844688,1171.79827374027
"3",187.651306833956,7.57745140561784,216.178793427205,60.968061401404,21.0566398941919,192.746838665967,26.9151552271554,94.1722812697399,31.6399480773221,493.432252962375,131.778777264563,625.211030226938
"4",217.129991195845,8.74280257886344,266.46929946672,75.9796412999533,25.0606995382667,232.969003583728,30.9997005378144,114.761293272998,34.7055957530792,593.382434079649,156.989362283774,750.371796363423
"5",389.137158140113,11.2786273480311,365.295605138553,132.648653963521,35.8136480821769,373.13974698067,43.9334101353877,186.440937796684,52.7149318598764,934.173692672395,240.491093017149,1174.66478568954
"6",147.067048851667,6.46067219761402,174.653938102256,46.1695990950187,17.261729874086,151.27712007713,22.4491821951669,72.9861132174201,26.6927429280217,391.612988120642,105.107520982111,496.720509102753
"7",144.09602788691,6.39089969457243,172.273302709411,45.2316060948225,17.0249036486264,148.576447288609,22.1475273770349,71.6092107309016,26.3009376192183,385.016740034342,103.344841193787,488.361581228129
"8",12.1987699094215,0.263891522838452,4.09172570775906,1.27852165758533,0.903813051023762,4.83376966465263,1.53246149036343,1.47880677031008,5.60476379438407,18.7367218486281,3.55524800706729,22.2919698556954
"9",43.4330597395823,2.78671702938857,59.3522973281832,11.9601586148972,6.53172595174655,44.4526790183724,8.84181295193875,19.3849359914367,11.0695481561342,124.063958663798,32.4925204034752,156.556479067273
"10",51.4304098522724,4.96886149059198,145.810081052802,22.4889202477306,12.0111344845217,79.6011548311123,13.8157538420394,36.7124298090949,11.8999577270014,236.709407127919,57.1122345833817,293.8216417113
"11",50.7490082201951,2.68303451139368,55.269382165488,12.4546562809232,6.43427895889455,46.17111373296,9.10405434609985,20.2169286057692,12.7719518078844,127.590360136895,33.7164574520368,161.306817588931
"12",30.3964887406076,2.62195986841094,57.4183648750672,9.67081096169544,5.94453228275877,36.388444434296,7.57490370273155,15.5127329568365,8.21405916502088,106.05215672854,26.7176334726005,132.76979020114
"13",94.017815953944,7.11946497629284,233.797178192855,42.4630445693593,18.7053810660334,140.54881933896,21.2419707226244,67.5193396386671,18.5564274707479,396.102884758485,98.0857747696009,494.188659528085
"14",14.8630898225322,1.17692990371823,21.0617063304874,3.69181817065699,2.72985916743002,14.2912525685671,3.64659554854959,5.3512781242903,4.92923363391173,43.5234033948248,10.5994343979101,54.1228377927349
"15",19.990733706148,1.26219727474998,22.4470350427431,4.45105875291228,2.99817623022726,17.1972591565396,4.21971994742976,6.62810276851233,6.39755710206728,51.1492010067806,12.7462004036273,63.8954014104079
"16",33.2087342438666,3.4474392010931,86.9794610069621,12.9604293382993,7.87278494912531,47.9206730447781,9.36853671699696,21.0661423407743,8.59054359679688,144.468848739346,34.9602437064788,179.429092445825
"17",96.890032750079,6.53455749005533,196.506817419989,38.909151490023,16.8760373273119,130.114040279739,20.0437263845114,62.2106262193857,19.088804710649,355.716596477459,91.2048887897162,446.921485267175
"18",10.9231625593534,1.74978125988297,38.4309254263985,4.45105875291228,3.76159783184916,17.1972591565396,4.21971994742976,6.62810276851233,3.56524475990952,59.3165258303963,12.7462004036273,72.0627262340236
"19",73.6447397866887,5.39478665026836,151.030315536817,28.2617232028729,13.3639112352464,97.8490351299275,16.1607464256173,45.8729904864619,15.664526164818,271.695476411894,69.5873119270546,341.282788338948
"20",41.7544608115128,3.7983181488264,96.3348097894758,15.6396876658863,8.8299510220131,57.0616195113156,10.7131684839271,25.5338998902177,10.2639826584515,166.357227437714,41.4219318454294,207.779159283144
"21",50.2808347821848,3.08828605161905,67.4163018412689,13.9890221261317,7.31095200532302,51.4545605880998,9.89547343063781,22.7875751131205,12.3411902530035,142.085396806527,37.465538461968,179.550935268496
"22",27.382115148912,1.62904380254421,30.2240193724543,6.24263208001808,3.85183771392139,23.9289394935294,5.46746328841603,9.67216441924191,8.11946091465633,69.32964811785,17.6863074135113,87.0159555313613
"23",50.69535264244,4.03209514231093,101.383405234869,17.9760839767826,9.52160091350564,64.8739304084628,11.8191731858568,29.3863087846521,11.9516075795021,183.608537909908,46.8978464316802,230.506384341588
"24",97.9184461380523,6.37631288357775,187.397620574408,38.033926103276,16.4127985996005,127.520581280297,19.7419685559754,60.8927229151301,19.2910723080477,346.139104298915,89.4866551770209,435.625759475935
"25",124.787177204008,6.27661303915405,171.968395924734,41.5556935753664,16.4432966038224,137.898967242767,20.9400184400449,66.1703558025519,23.4607857456134,361.031176347085,96.3432736674003,457.374450014486
"26",73.470609239031,2.47675157740997,48.4348553523068,13.9890221261317,6.3409431428896,51.4545605880998,9.89547343063781,22.7875751131205,18.061533171151,144.712181437769,37.465538461968,182.177719899737
"27",89.3662006518281,2.74876717335449,54.8244138603644,16.7955127260661,7.16001430624937,60.943767872833,11.2673095953225,27.4448240773287,20.9824479075105,170.894908717862,44.1482551467669,215.043163864629
"28",10.4249243560035,0.456632611869055,7.18486061407163,1.65456699641078,1.28077604483789,6.32643848035343,1.90414046688307,2.04597077088754,4.23593573301781,21.0017606231929,4.67187148394265,25.6736321071355
