"","Lokalitet","Trenr","Art","Hoyde(m)","DBH(cm)","OBH(cm)","dbh.mm","height.dm","tree.sp","Notat","living.branches","dead.branches","stem.wood","stump","bark","usoil","rot1","rot2","foliage","biomass.aboveground.kg","biomass.belowground.kg","total.biomass.kg"
"1",1,1,"furu",6,13.6873251059021,43,136.873251059021,60,10,NA,21.2640414693089,0.930813693139899,15.5685743260552,3.68983029965816,2.38510022057412,14.2835997936175,3.64505239297465,5.34795317217835,7.22529070868252,43.8383600087363,10.5937694939594,54.4321295026957
"2",1,2,"furu",6.3,13.3690152197183,42,133.690152197183,63,10,NA,18.5720934345632,0.929910527665378,15.6233077245748,3.45824975829583,2.3368277949322,13.3904689229823,3.46360715074139,4.96141497776036,6.35720254601753,40.9203892400314,9.9322191646865,50.8526084047179
"3",1,3,"furu",8.1,22.6000019190476,71,226.000019190477,81,10,NA,69.7088774616489,2.67822821448284,53.7158245177533,14.5110949068197,6.72535236692315,53.2362653276605,10.1576503861942,23.658363423843,16.9188742965616,147.339377467628,38.7251704208408,186.064547888469
"4",1,4,"furu",3.6,9.54929658551309,30,95.4929658551309,36,10,NA,11.8304756747332,0.312877782700444,4.85072014153137,1.39352984082301,1.00736683788532,5.29061730171737,1.64854460269071,1.64967782048368,5.22449389915334,19.3949702776734,3.89708746089436,23.2920577385678
"5",1,5,"furu",4.7,10.1859163578806,32,101.859163578806,47,10,NA,10.6763033803306,0.447882072529137,7.03575335599096,1.65280301764206,1.26785813071059,6.31944616610513,1.9024470760848,2.04325823462796,4.35467997330021,21.0805999572033,4.66664314846307,25.7472431056664
"6",1,6,"furu",3.7,11.1408460164319,35,111.408460164319,37,10,NA,19.1782330247132,0.422387157310971,6.62680347705407,2.10189335806503,1.33083847845577,8.09521086225626,2.32062596882047,2.74596506914877,7.87727381083641,29.660155495599,5.99331750419122,35.6534729997903
"7",1,7,"furu",8.4,27.0563403256204,85,270.563403256204,84,10,NA,109.398594386402,3.57632831082495,76.4786562085682,23.1486365322537,9.32931893626841,81.7179933264739,14.0944891559659,37.7710031477834,23.5383141704571,221.931534374317,58.5693567942202,280.500891168537
"8",1,8,"furu",8.6,24.1915513499665,76,241.915513499665,86,10,NA,78.5698144404994,3.09539628087987,64.5099742510735,17.3553247119088,7.78137886767127,62.8117075814363,11.5307043416212,28.3667556574125,18.2007217495596,171.311888552033,45.4563828695276,216.76827142156
"9",1,9,"furu",7.5,31.830988618377,100,318.30988618377,75,10,NA,189.254448893417,4.09747900614554,89.2207486657992,34.5941802620413,11.602065210084,117.231569591893,18.5281534413457,55.6712143683292,36.776779048203,328.768922037487,82.6373893298521,411.406311367339
"10",1,10,"furu",9.6,18.4619733986586,58,184.619733986586,96,10,NA,31.3059166737387,2.19343141015986,44.2522793538036,8.41375462373346,5.05996648577245,31.8776873346079,6.83614072407407,13.3745977636327,8.66316158013531,91.2253485472081,23.4639327108745,114.689281258083
"11",2,1,"furu",8.4,17.1887338539236,54,171.887338539236,84,10,NA,29.4602569233131,1.77947422668795,33.662084771812,6.91690372073535,4.18850292425966,26.4204716682026,5.90692402936684,10.8222062532689,8.52717400903918,76.0072225668081,19.5035679474673,95.5107905142754
"12",2,2,"furu",9.7,28.3295798703555,89,283.295798703555,97,10,NA,103.860955958895,4.20772353037524,96.1216932185333,25.9903783297549,10.7519772014928,90.7411247349632,15.2622408639957,42.2959083207321,21.6894555658558,240.932728239051,64.7507464052083,305.683474644259
"13",2,3,"furu",8.1,15.2788745368209,48,152.788745368209,81,10,NA,21.2060761452493,1.42191058757915,25.9497137808614,4.9989486174091,3.3289828953622,19.2740144701488,4.61532909650389,7.5558396636274,6.60198266462115,56.9056320264612,14.2750658527397,71.1806978792009
"14",2,4,"furu",6.6,14.0056349920859,44,140.056349920859,66,10,NA,20.4515785802065,1.04677370010618,17.8765564903807,3.93132175250411,2.594639162895,15.2115722494972,3.83081206623178,5.75265086369004,6.7889672727755,45.9008696860925,11.2802504969931,57.1811201830855
"15",2,5,"furu",7,14.3239448782696,45,143.239448782696,70,10,NA,20.5064530554569,1.1400156940718,19.7898241864872,4.18285745562826,2.77435924817708,16.1745188221902,4.02080424199349,6.1756650170102,6.68570401186973,48.3935096398213,11.991661366562,60.3851710063832
"16",2,6,"furu",11.5,26.7380304394367,84,267.380304394367,115,10,NA,72.8317890557868,4.30998423563047,104.658827351554,22.4633349736835,10.5280670605138,79.5188842149646,13.8048821495091,36.6713133798329,15.9839616963681,214.792002677169,57.0555492412812,271.84755191845
"17",2,7,"furu",4.3,13.0507053335346,41,130.507053335346,43,10,NA,27.0884333036035,0.641336407816696,10.3015985292869,3.23643913146865,1.88542557145467,12.5320112816366,3.28655603757595,4.59285615530938,9.96073237324574,43.1532329436304,9.295572150168,52.4488050937984
"18",2,8,"furu",10.5,20.0535228295775,63,200.535228295775,105,10,NA,36.086408716394,2.65205611843729,56.7589944988957,10.5352804272654,6.111194051135,39.455354481744,8.06422718885627,16.9785956258244,9.50538923436208,112.143933812127,28.9200740544786,141.064007866606
"19",2,9,"furu",11,23.554931577599,74,235.54931577599,110,10,NA,54.3478765428626,3.49380806748678,79.8902776459298,16.1848929814818,8.2956657463892,58.897193888908,10.9763414862651,26.4365358014701,12.9197982325048,162.21252098415,42.7123009074262,204.924821891576
"20",2,10,"furu",11.2,17.1887338539236,54,171.887338539236,112,10,NA,20.8868174191184,2.14747839553162,45.6702573126448,6.91690372073535,4.76561368373567,26.4204716682026,5.90692402936684,10.8222062532689,6.10235988643669,80.3870705317658,19.5035679474673,99.8906384792331
