"","Lokalitet","mean_height","mean_dbh","n_trees","sum_living_branches","sum_dead_branches","sum_stem_wood","sum_stump","sum_bark","sum_usoil","sum_rot1","sum_rot2","sum_foliage","sum_biomass_aboveground","sum_biomass_belowground","sum_total_biomass"
"1",1,6.65,18.2073254897116,10,559.758798839355,18.6847344558389,377.882642022204,110.319297311241,48.8260733292772,394.254566208751,74.1274152405132,175.5902036352,135.136791782907,1115.47154595792,283.93526889751,1399.40681485543
"2",2,8.79047619047619,17.7192503308965,21,713.415918649936,42.745224668166,896.312078521007,185.350532770522,102.244588492149,682.676654973377,139.113984321001,293.327182414306,190.261978247028,1940.06834310178,497.326122202855,2437.39446530463
"3",3,9.18181818181818,20.4731131340925,22,1108.68394784992,56.9983006420131,1373.63206496178,296.776402329148,149.297496120758,1079.02454597537,198.352672477383,487.630201459569,281.267763694741,2985.38821190362,782.248143646218,3767.63635554984
"4",4,20.9133333333333,26.9502370302258,15,1301.17455473011,86.8915158448451,3436.76318038836,387.224581097897,301.708685481955,1637.82712779226,227.979859783143,798.433639184674,472.237957118802,5513.76251754317,1250.60254669436,6764.36506423753
"5",5,19.35,27.8748514615215,14,1356.60712583645,82.2285260461285,3547.1901597444,428.230721872523,308.247577420819,1743.99468872769,226.121233650174,834.312051890531,468.683323549239,5725.56433202687,1315.76396685516,7041.66500926574
"6",6,17.6105263157895,23.9486306473526,38,2435.62491353871,166.428120576801,6889.86712867844,877.094103101213,563.864374578044,3310.25998286879,484.011202356915,1600.27278931166,812.119264548637,10932.8786404732,2433.16587976758,13366.0445202408
"7",7,16.4038461538462,20.4452888433421,26,1364.80650778078,70.8243763975191,2627.28303489195,331.207151980522,267.786156957992,1467.30427255559,248.0910289335,701.058163886751,508.745000775792,4661.90722800876,1136.09712057507,5798.00434858383
"8",8,20.81,23.984649923947,20,1239.34284679134,103.666736000605,3830.13433967896,383.387141764558,312.919666678357,1625.39594298249,249.714750165066,787.125070798042,462.795792932982,5869.45073091382,1242.00880121793,7111.45953213175
"9",9,15.1148148148148,17.9786139418611,27,1077.17765569151,55.8915748502295,1937.4043605965,243.179317348142,204.763793281374,1098.35574251087,204.845155455631,512.687022073983,411.070565237548,3518.41670176775,855.176425162724,4373.59312693048
